,true_labels,predicted_labels
49935,25,17
71684,17,17
69606,20,20
105408,2,2
120985,17,17
93599,6,8
8525,26,26
4472,17,17
33964,17,17
38849,18,18
112922,26,26
14185,17,17
78447,25,25
9991,17,17
121140,12,12
12742,8,8
6552,8,8
91739,4,4
36234,3,3
66832,14,14
77617,28,28
59073,17,15
49450,8,2
49551,17,17
114583,13,13
10890,17,17
94137,0,0
51019,15,15
41383,17,17
104210,19,19
52304,17,17
122726,30,30
93577,8,8
64620,12,12
114142,12,12
9518,8,8
10825,17,17
88392,12,12
105578,28,28
55738,18,18
12804,19,19
113919,2,2
10912,17,17
35926,25,25
73712,4,4
92824,17,17
99465,12,12
14224,8,8
65127,17,17
59128,2,2
102319,2,2
97121,17,17
100671,0,0
105189,16,16
110228,17,17
82577,10,10
103034,8,8
23817,8,5
28710,25,25
39693,21,21
22422,17,17
57507,16,16
64271,27,27
51228,17,17
81248,2,2
10064,17,17
46719,17,6
79705,25,25
29525,22,22
8875,29,29
108692,6,6
83451,17,17
95580,3,17
54172,17,2
8760,3,3
93514,12,12
76800,17,17
85881,17,17
83209,17,17
20362,17,17
2893,8,8
103735,5,5
8703,29,29
99903,3,3
550,8,8
5059,29,29
6184,8,8
21138,12,12
28078,17,17
101421,3,3
78392,17,17
80962,2,2
67972,27,27
36990,25,25
55053,26,26
43029,17,17
21142,17,17
8286,13,13
73395,17,17
4906,8,8
81819,21,21
86212,22,22
112179,13,13
69175,17,17
123918,12,12
86960,3,3
69553,17,17
97234,21,21
83929,17,17
3509,8,8
3923,17,17
8917,21,17
17444,17,17
55216,8,8
19915,17,3
110619,7,7
18159,3,3
5979,29,29
52456,2,2
61214,8,8
58463,17,17
84969,8,8
2037,15,15
50410,28,28
39780,17,17
109719,8,8
81510,22,8
40930,17,17
19957,17,17
93241,7,7
118300,5,5
108555,15,15
100238,17,17
75941,8,8
99039,26,26
22192,8,8
88923,17,17
97067,12,12
52583,3,3
96358,17,17
81373,8,8
33347,12,12
77689,8,8
18321,6,6
77507,2,2
25543,17,17
7863,8,8
78925,27,27
90796,17,17
92517,8,8
7132,19,19
123177,8,8
84206,21,21
82878,8,8
17613,12,12
57341,17,17
106222,2,2
42263,18,18
121287,11,11
87334,12,12
25689,12,12
117741,13,17
52315,6,6
103541,18,18
5884,27,17
82376,17,17
11168,2,2
31467,17,17
106330,21,21
113142,19,19
95034,17,17
101571,22,22
91397,23,23
90929,9,9
66694,11,11
29170,8,8
7168,17,17
114888,17,17
122204,8,8
3733,17,17
57892,27,27
90044,13,13
29626,17,17
94532,4,4
20717,23,23
101836,17,17
108270,12,12
68583,17,17
118284,9,9
15663,19,19
113625,16,16
108387,3,3
62764,19,19
44422,17,17
78400,8,8
114984,7,7
81794,15,15
61043,3,11
16598,17,17
118419,17,17
24147,1,1
40386,17,17
10644,5,5
33168,17,17
378,5,5
61183,7,7
28072,16,16
18881,8,8
87147,5,5
40997,16,16
41390,17,17
57319,17,17
6848,16,16
61688,17,17
120672,17,17
970,17,17
36298,3,3
93212,17,17
8350,8,8
14657,8,8
58733,17,17
56897,17,17
33222,8,8
3903,28,28
113818,16,16
28406,12,12
2040,17,17
96508,21,21
75844,4,4
121175,8,8
68287,8,8
81194,20,20
29246,18,18
92232,18,18
69629,5,5
57156,17,17
76410,24,24
2029,17,17
69293,8,8
113897,21,21
23850,17,17
23623,29,17
87257,21,21
20248,17,17
91089,15,15
34194,16,16
38974,8,8
14843,17,17
55497,8,8
48549,25,25
46704,25,25
15435,5,5
109889,17,17
57831,26,26
39930,27,27
107713,13,13
16133,17,17
60812,28,28
41422,17,17
28951,8,8
103213,3,3
19626,18,18
45690,16,16
16680,28,17
47134,30,30
119930,17,17
122492,17,17
6448,2,2
112981,8,8
4790,17,17
50347,17,0
33018,17,17
68123,12,17
77825,19,19
103840,7,7
58356,22,22
72895,17,17
55887,25,25
60017,27,27
107993,27,27
107768,17,17
65530,17,17
11987,23,23
28864,17,17
101107,0,0
88781,2,2
112344,17,17
73441,23,23
82252,20,12
120466,20,20
59769,17,17
59958,26,26
39554,7,7
18154,28,28
56771,15,15
71098,25,25
111189,8,8
74521,17,17
6098,21,21
109841,17,17
109862,12,17
2110,15,17
35264,6,6
85458,25,25
34661,17,17
120139,30,30
43104,12,12
52240,2,2
8617,15,15
101750,8,8
58189,3,17
55513,17,17
93341,0,0
75779,8,8
53286,12,12
64909,10,10
47081,17,17
28344,15,15
60749,2,2
64526,4,4
121586,15,15
110375,5,5
21507,17,17
33286,5,5
83157,21,21
70715,17,17
55449,25,25
25763,12,12
115117,30,30
17372,29,17
18158,17,17
77987,21,21
13239,16,16
69018,15,15
39521,27,27
117132,26,26
116597,3,5
37750,8,8
119911,20,20
71307,17,17
32018,28,17
47831,8,8
120004,18,18
62407,17,17
96132,18,18
113911,9,9
5178,17,17
84252,16,16
32231,5,5
105893,30,25
317,5,5
124830,3,3
59406,17,17
7266,17,17
105027,2,2
72601,17,17
77693,13,13
87174,17,17
15842,29,29
90076,28,28
94104,17,17
112133,0,0
14221,16,16
40690,6,6
71027,11,11
95444,16,16
87523,17,17
8880,23,23
49136,12,12
24353,21,21
95216,16,16
9456,24,17
49913,17,17
14149,8,8
44575,17,17
86342,8,8
45476,1,1
98995,0,0
37616,17,17
113216,27,27
112251,17,17
34013,18,18
110294,6,17
14747,8,8
65099,8,8
14321,27,27
65187,17,17
97758,4,4
54119,17,17
78079,2,2
118114,9,9
102104,8,8
34616,8,5
29624,17,17
32594,5,5
76318,17,17
101443,12,12
102786,19,19
80881,8,8
8309,18,18
118290,23,23
51737,17,17
61460,17,17
84527,20,20
51378,21,21
100146,10,10
108985,12,12
56409,18,18
109962,17,17
33213,22,22
101508,8,8
96764,21,21
856,27,27
90965,17,17
96684,10,10
26652,25,25
114426,2,2
34806,8,8
15669,17,17
118471,17,17
16962,14,14
58664,10,10
117479,30,30
61077,17,17
76116,28,28
4577,5,5
62336,25,25
89879,7,7
48641,16,16
96128,7,7
83523,17,17
66829,17,17
97775,30,30
52244,15,17
47739,11,11
17495,2,2
102396,9,9
116010,8,8
74972,17,13
17719,16,16
8700,29,29
120554,3,3
46056,17,17
44490,16,16
35370,25,25
47676,17,5
56007,17,17
40833,17,17
113304,20,20
123795,12,12
38307,25,25
116116,19,19
84450,17,17
13951,12,12
201,17,17
69264,6,6
86073,19,19
53666,26,26
